,Country,Expenditure,Life_Expectancy,Disposable_Income,Expenditure_As_Percent_of_Income,Expenditure_As_Percent_of_Income_Trend,Excess_Expenditure_as_Percent,Obesity_Rate,Life_Expectancy_Trend,Years_Added,Excess_Disposable_Income
0,Australia,6596,83.92,46800,14.094017094017094,14.388890044487068,-0.2948729504699745,31.82,80.1444199873483,3.7755800126517016,40204
1,Austria,7275,81.96,50200,14.492031872509962,14.985196003184948,-0.49316413067498566,17.04,82.69384373164442,-0.7338437316444271,42925
2,Belgium,6600,82.11,47400,13.924050632911392,14.494120507786695,-0.570069874875303,22.0,81.83828610162352,0.2717138983764755,40800
3,Canada,6319,82.63,43600,14.493119266055047,13.827660906889065,0.6654583591659815,27.32,80.92063154684305,1.7093684531569409,37281
4,Chile,2699,81.17,23100,11.683982683982684,10.232286744151848,1.4516959398308362,39.52,78.81623576332395,2.3537642366760565,20401
5,Costa Rica,1658,80.8,17900,9.262569832402235,9.32028939555509,-0.05771956315285465,31.97,80.11854626869848,0.6814537313015165,16242
6,Denmark,6280,81.93,42800,14.672897196261683,13.687353622489564,0.9855435737721194,14.3,83.1664703256479,-1.2364703256478862,36520
7,Estonia,3091,79.15,29200,10.585616438356164,11.302129787698043,-0.7165133493418789,26.67,81.03275099432564,-1.882750994325633,26109
8,Finland,5676,81.91,43600,13.01834862385321,13.827660906889065,-0.8093122830358546,23.7,81.54505062359218,0.36494937640782155,37924
9,France,6517,83.33,46400,14.045258620689655,14.318736402287318,-0.2734777815976628,10.92,83.74949145255728,-0.41949145255728126,39883
10,Germany,8011,81.38,51600,15.525193798449614,15.230733750884076,0.2944600475655381,24.16,81.46570455306605,-0.0857045530660514,43589
11,Greece,3015,81.86,28000,10.767857142857142,11.091668861098793,-0.3238117182416502,33.68,79.82358587609048,2.0364141239095233,24985
12,Hungary,2840,77.02,29800,9.53020134228188,11.40736025099767,-1.8771589087157903,36.4,79.3544091112403,-2.334409111240305,26960
13,Ireland,6047,82.41,38300,15.78851174934726,12.89812514774237,2.89038660160489,30.84,80.31346161586049,2.0965383841395067,32253
14,Italy,4291,83.72,40400,10.62128712871287,13.26643176929106,-2.6451446405781898,21.55,81.91590725757301,1.8040927424269881,36109
15,Japan,5251,84.71,33900,15.489675516224189,12.126435083545113,3.363240432679076,4.94,84.78099036939699,-0.07099036939699488,28649
16,Latvia,3445,76.19,28600,12.045454545454545,11.196899324398418,0.8485552210561274,29.81,80.49112781725596,-4.30112781725596,25155
17,Lithuania,3587,76.03,36300,9.881542699724518,12.547356936743617,-2.6658142370190987,31.14,80.26171417856085,-4.23171417856085,32713
18,Luxembourg,6436,82.23,59700,10.780569514237856,16.65134500542902,-5.870775491191166,20.21,82.14704581084477,0.082954189155231,53264
19,Mexico,1181,75.07,20500,5.760975609756098,9.776288069853468,-4.01531246009737,36.09,79.40788146311661,-4.3378814631166165,19319
20,Netherlands,7358,82.16,48800,15.077868852459018,14.739658255485821,0.33821059697319633,16.91,82.71626762114093,-0.5562676211409325,41442
21,New Zealand,6061,82.09,31900,19.0,11.77566687254636,7.22433312745364,34.25,79.72526574522114,2.364734254778867,25839
22,Norway,7898,83.31,47700,16.557651991614257,14.546735739436507,2.0109162521777506,19.77,82.22294205221759,1.0870579477824123,39802
23,Poland,2973,78.63,32200,9.232919254658386,11.828282104196173,-2.5953628495377874,31.41,80.21514148499116,-1.5851414849911691,29227
24,Portugal,4162,82.36,34500,12.063768115942029,12.231665546844738,-0.16789743090270903,27.06,80.96547932583609,1.394520674163914,30338
25,Slovakia,2691,78.34,29500,9.122033898305085,11.354745019347856,-2.2327111210427706,30.28,80.41005683215317,-2.0700568321531705,26809
26,Slovenia,4114,81.6,36600,11.240437158469947,12.599972168393428,-1.3595350099234818,22.2,81.80378781009043,-0.20378781009043223,32486
27,South Korea,4570,84.33,32700,13.97553516819572,11.915974156945861,2.0595610112498584,6.73,84.47223066017574,-0.14223066017574126,28130
28,Spain,4462,83.67,34500,12.933333333333334,12.231665546844738,0.7016677864885956,19.17,82.3264369268169,1.3435630731831054,30038
29,Sweden,6438,83.26,43900,14.665148063781322,13.880276138538877,0.7848719252424452,16.41,82.80251334997368,0.4574866500263255,37462
30,Switzerland,8049,83.95,52000,15.478846153846154,15.300887393083826,0.17795876076232808,13.74,83.26306554194058,0.6869344580594259,43951
31,United Kingdom,5493,81.3,40800,13.463235294117649,13.336585411490809,0.12664988262683963,28.71,80.68086842068801,0.6191315793119827,35307
32,United States,12555,79.3,62300,20.152487961476726,17.107343679727403,3.045144281749323,42.87,78.23838938014451,1.061610619855486,49745
